name,qid,gender
Antioco Pinsuti,,
Domenico Severini,,
Niccolò Enea Bartolini,,
Antonio Scappi,,
Merindo Fesanio,,
Cocalin dei Cocalini,,
Epompo Narselli,,
Luigi Zorzisto,,
Bernardino Santinelli Brancaleoni,,
Camillo Volpelli,,
Tomás Sánchez,Q1168867,male
Selvaggio Accademico Pacifico,,
Mauro Ruggieri,,
Convittori del Collegio de Nobili,,
Giovan Battista Bregazzano,,
Geremia Sinistraro,,
Giovanni Taustii,,
Giovanni Beltrando di Benedetto,,
Giambattista Querzoli,,
Cesare Ventimonte,,
Vigoroso Accademico Unito di Cortona,,
Bernardo Accolti,Q2709370,male
Raffaello Gualterotti,Q17285000,male
Angiolo Graziosi,,
Pirro Graziani,,
Giacomo Scafili,,
Emilio Fei,,
Bernardo Monseccato,,
Andrea Perbenedetti,Q113845891,male
Alessandro Guarnelli,Q86836130,male
Filippo Ritondi,,
Giovanni Battista Calamai,Q98185511,male
Girolamo Corbelli,,
Giovanni Ciampoli,Q322940,male
Ciro di Pers,Q3678183,male
Economico Accademico Intronato,,
Michelangelo Giunti,,
Francesco Moneti,,
Giovanni Nicolo Boldoni,Q55225726,male
Girolamo Vielmi,Q68904398,male
Gelasio Sgambati,,
Melchior Basso da Cora,,
Valerio Comi,,
Lorenzo Vitturi,Q68912187,male
Vincenzo Rota,Q96096914,male
Domenico Barone,Q3712901,male
Giovanni Carlo Paganicesa,,
Pietro Chiari,Q1968978,male
Paolo Antonio Rolli,Q726893,male
Antonio Chiarelli Panvini,,
Capriccioso,,
Ambrogi Gesuita,,
Lorenzo Guazzesi,Q21529023,male
Cristoforo Guidiccioni,,
Vaccina,,
Cesare Comi,,
Girolamo Ringhieri,,
Gregorio Redi,Q55904160,male
M.,,
Silvani,,
Ferrante Agnelli,,
Gaetano Casali,Q16558319,male
Lettor Ringhieri,,
Orsola Biancolelli,,female
Giuseppe Maria Priani,Q17484879,male
Anton Filippo Adami,Q3618850,male
Giambattista Zambetti,,
Antonio Maria Ambrogi,Q3618874,male
Franchi,,
Venanzio Bevilacqua,,
Sabbatini,,
Tommaso Sant'Agostini,,
Giacomo Galeazzi,Q17328268,male
Neri di Bicci,Q1452198,male
Desioso Insipido,,
Scipione Cigala,,
Giuseppe P,,
Giuseppe Costantini,,
Alfonso Francesco Donnoli,Q94874953,male
Morselli,,
Madama N. N.,,
Louis de Bonis,Q1872059,male
Antonio Dattorno,,
Alfonso Varano,Q3611259,male
Flaminio Scarselli,Q54854824,male
Salvador Riva,,
Roncini,,
Giacomo Brunozzi,,
Antonio Giulio Brignole Sale,Q113541643,
Simone Gravi,,
Giuseppe Giberti,,
Domenico Luzzacini,,
Tommaso Malipiero,,
Niccolò Maria Selva,,
Gandini,,
Franceschini,,
Ambrogio Grigioni,,
Silvani e Lalli,,
Giambattista Reggiani,,
Lazzero Pareto,,
anonymous,Q4233718,
Appiano Buonafede,Q621023,male
Barlocci,,
Prospero Desolieri,,
Giovanni Battista Salvati,,
Jolia Sinoni,,
Carlo Virginio Draghi,Q55227205,male
Oliviero Gatti,Q3881870,male
Girolamo Abbati,Q110914811,male
Daniele Giupponi,,
M. Destouches,,
Carlo Gandini,Q86682326,male
Presepio Presepi Pastignani,,
Pietro Antonio Epifani,,
Franz Grisellini,Q94619125,male
A. N. A.,,
Luigi Bernardo Salvoni,Q98508158,male
Pio del Borgo,,
Enrico Girolami,,
Giambatista Riccheti,,
Serafino Giustiniani,,
"Giovanni Andrea Zanotti, detto Ottavio",,
Giovanni Fiorini,,
Maria Isabella Dosi Grati,Q98545324,female
Pompilio Miti,,
Daniel Florio,,
Rota,,
Niccolò Castelli,Q27903896,male
Angiola d'Orso,,
Lorenzo Bonnassi,,
Giambattista Luzzarani,,
Onofrio da Cusmo,,
Melchiore Cesarotti,Q919900,male
Girolamo Andrea Lorenzani,,
Pietro,,
Pietro Francesco Trecco,,
Giovanni Carlo Solaro,,
Giacinto Cini,,
Laureto Lauri,,
Giovanni Maria Alessandrini,,
Catuffio Panchianio Bubulco,,
Giambattista Tosseli,,
A. C. Z. P. A.,,
Benedetto Maruspini,,
Valcerca,,
Bernardino Antonio Borliari,,
Giulio Ruccellai,,
Lemene,,
Pellegrino Rent,,
Urbano Ricci,,
Bartolomeo Banicchi,,
Giambattista Cartari,,
Badl.,,
Colatelli,,
Incogniti,,
David Gello,,
Giuseppe Imer,Q3770748,male
Monaceni,,
Bernardino Santinelli,,
Lotario Cimalba,,
Giuseppe Diamante,Q125210922,male
Jean Rotrou,Q561715,male
Valentino Rossi,Q169814,male
Giuseppe Finoti,,
Ambrogi,,
