name,qid,gender
Ferecida Cremete Elbeni,,
Raffaello Martiar,,
Girolamo Preti,Q3768975,male
Carlo Palermini,,
Francesco Egizio,,
Ascanio Pio di Savoia,,
Lodovico Cortesi,,
Ferdinando Leva,,
Antonio Fineschi da Radda,Q60978898,male
Giovanni Cosimo Villifranchi,Q3767054,male
Giambatista Bergazzano,,
Cirillo Pameno,,
Giovanni Francesco Busenello,Q1386331,male
Camillo Badoaro,,
Aurelio Amalteo,Q112518660,male
Camillo Boccaccio,,
Marco Antonio Rimena,Q106924841,male
Giuseppe d'Attellis,,
Angelita Scaramuccia,Q87188217,male
Benedetto Lassarmi,,
Orazio Persiani,Q97495853,male
Girolamo Collatelli,,
Simon Tomadoni,,
Marcantonio Gattinon,,
Andrea Barbazza,Q21548210,male
Francesco Antonio Flesca,,
Antonio Pandimo,Q109854748,male
Carlo Barbetta,,
Pietro Capacio,,
Lorenzo Perez Rabanal,,
Girolamo Borsieri,Q19357558,male
Valeria Miani,Q24202562,female
Andreano di Ruggieri,,
Malatesta Leonelli,,
Giambattista Massucci,,
Vincenzo Belando,Q86825390,male
Francesco Guglielmi,,
Giambattista Marzi,,
Armenoldo Sampognano,,
Alessandro Dionisio,,
Francesco Cavana,,
Fulvio Ghirlandi,,
Orazio Corcione,,
Francesco Bracciolini,Q322022,male
Pietro Susini,Q61041256,male
Adriano Morselli,Q2825078,male
Giacomo Francesco Bussani,Q3105052,male
Tommaso Stanzani,,
Giuseppe Vallaro,,
Angelo Beolco,Q1055609,male
Giulio Cesare Torelli,,
Livio Campana,,
Carlo Amadio,,
Francesco Canali,,
Giovanni Giustiniani,Q19862442,male
Bernardo Filippino,,
Girolamo Baruffaldi,Q328118,male
Fabio Glissenti,Q28599105,male
Giambatista Terzi,,
Francesco Nicola Frassoni,,
Ottavio Bellia,,
Giovanni Vincenzo Gravina,Q727363,male
Diomisso Guazzoni,,
Ridolfo Campeggi,Q15733674,male
Benedetto Ferrari,Q816842,male
Francesco Vulpiani,,
Michele della Marra,,
Pandolfo Collenuccio,Q3893150,male
Nicolò di Castelli,Q87180545,male
Fabrizio de Fornaris,Q3064020,male
Ottavio Argentino,,
Pietro Paolo Bissari,Q30524276,male
Vincenzo Brusantini,Q55226068,male
Francesco Pandolfi,,
Angelo Antonio Amabile,,
Pietro Pariati,Q328190,male
Carlo Vedoa,,
Francesco Pona,Q3081061,male
Francesco Biondi,,
Diego Ferula,,
Antonio Presutti,,
Alessandro Guidotti,Q125299494,male
Pellegrino Romito,,
Pietro Rinieri,,
Niccolò Negri,,
Paolo Veraldo,,
Diego Leguille,,
Francesco Garcia,,
Infiammato delle Donne,,
Niccolò Beregani,,
Filippo Vastrio,,
