Name,Label
Pietro Antonio Bernardoni,author
unknown,author
Benedetto Mellini,author
Grazio Braccioli,author
Francesco Maria Piccioli,author
unknown,author
Giovanni Andrea Lorenzani,author
Giovanni Battista Faggi,author
Donato Cupeda,author
Paolo Bozi,author
Ottavio Tronsarelli,author
Gaspare Murtola,author
Nicolò Minato,author
Giovanni Dolfin,author
Aurelio Aureli,author
Giovanni Francesco Savaro,author
unknown,author
Girolamo Giustiniani,author
Giacomo Antonio Bergamori,author
unknown,author
Francesco Pona,author
unknown,author
Nicolò di Castelli,author
Girolamo Graziani,author
Agostino Piovene,author
Francesco De Lemene,author
Ottavio Rinuccini,author
Girolamo Frigimelica,author
Luigi Groto,author
unknown,author
Apostolo Zeno,author
Giovanni Angelo Lottini,author
Pietro Antonio Bernardoni,author
unknown,author
Leone Santi,author
Michele Brugueres,author
Felice Passero,author
Apostolo Zeno,author
Strozzi Cicogna,author
Giulio Strozzi,author
Nicolò Minato,author
Ercolano Ercolani,author
Pietro Metastasio,author
Giovanni Antonio Bianchi,author
Antonio Marchi,author
Giovanni Battista Recanati,author
Pietro Metastasio,author
Giovanni Claudio Pasquini,author
various authors,author
unknown,author
Francesco De Lemene,author
Raffaello Borghini,author
Pietro Metastasio,author
Giovan Battista Fagiuoli,author
Giovanni Briccio,author
Fabio Glissenti,author
unknown,author
Giovanni Granelli,author
Marco Guazzo,author
Francesco Sbarra,author
Francesco Sbarra,author
Nicolò di Castelli,author
unknown,author
Giovanni Briccio,author
Giovanni Maria Cecchi,author
Francesco Bosellini,author
Virgilio Verucci,author
Annibale Marchese,author
Giacinto Andrea Cicognini,author
unknown,author
Nicolò di Castelli,author
Giovanni Maria Cecchi,author
Isabetta Coreglia,author
Antonio Maria Lucchini,author
Giovanni Maria Cecchi,author
Annibale Marchese,author
Giovanni Francesco Savaro,author
Giuseppe Gorini Corio,author
Remìgio Nannini,author
Anton Giulio Brignole Sale,author
Giambattista Andreini,author
unknown,author
Apostolo Zeno,author
Giambattista della Porta,author
Aurelio Aureli,author
Giovanni Battista Pianelli,author
unknown,author
Niccolò Forteguerri,author
Giovanni Battista Rodoteo,author
Domenico Lalli,author
Niccolò Forteguerri,author
Lodovico Dolce,author
Michelangelo Carmeli,author
Stefano Benedetto Pallavicino,author
Girolamo Giustiniani,author
Pier Jacopo Martello,author
Girolamo Giustiniani,author
Pietro degli Angeli,author
Giovanni Andrea dell' Anguillara,author
Ettore Nini,author
Fabio Glissenti,author
Lorenzo Longo,author
Carlo Celano,author
unknown,author
Gasparo Gozzi,author
Ercolano Ercolani,author
Pietro Pariati,author
Domenico Lalli,author
Nicolò Minato,author
Vincenzo Grimani,author
Vincenzo Giusti,author
Francesco Rasi,author
Giovanni Francesco Savaro,author
Luigi Groto,author
unknown,author
Francesco De Lemene,author
Pietro Antonio Bernardoni,author
Pietro Metastasio,author
Nicolò Minato,author
Apostolo Zeno,author
Apostolo Zeno,author
Carlo Goldoni,author
Antonio Salvi,author
unknown,author
Pierre Corneille,author
Ettore Nini,author
Bernardo Morando,author
Ettore Nini,author
Ercolano Ercolani,author
Bartolomeo Vitturi,author
Francesco Passarini,author
Pietro Paolo Bissari,author
Girolamo Parabosco,author
Francesco Maria Piccioli,author
Annibale Marchese,author
Vincenzo Giusti,author
Francesco Sbarra,author
Cataldo Antonio Mannarino,author
unknown,author
Pio Enea II Obizzi,author
Francesco Bracciolini,author
